,1,2,3,4,5,6,7,8,9,10,11,12
A,0.659,0.052,0.172,0.046,0.632,0.048,0.172,0.04,0.672,0.035,0.164,0.033
B,1.206,0.035,0.275,0.046,1.251,0.037,0.279,0.049,1.271,0.035,0.28,0.035
C,1.731,0.035,0.405,0.044,1.812,0.047,0.408,0.047,1.838,0.034,0.403,0.042
D,2.371,0.048,0.527,0.049,2.377,0.035,0.506,0.071,2.377,0.035,0.507,0.048
E,2.777,0.043,0.617,0.04,2.874,0.036,0.643,0.053,2.897,0.034,0.622,0.043
F,3.221,0.034,0.731,0.036,3.316,0.034,0.731,0.037,3.288,0.034,0.732,0.048
G,3.618,0.032,0.839,0.043,3.585,0.035,0.848,0.037,3.596,0.032,0.85,0.042
H,3.682,0.032,0.949,0.038,3.636,0.035,0.955,0.039,3.719,0.031,0.961,0.043



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00034
Measurement started at,03 11 19:54:27 2026
Measurement finished at,03 11 19:54:46 2026
