,1,2,3,4,5,6,7,8,9,10,11,12
A,0.095,0.078,0.228,0.318,0.32,0.328,0.684,0.583,0.499,0.364,0.347,0.696
B,0.084,0.06,0.47,0.369,0.363,0.35,0.446,0.749,0.539,0.554,0.739,0.805
C,0.077,0.049,0.692,0.649,0.602,0.658,0.282,0.57,0.209,0.556,0.525,0.337
D,0.08,0.057,0.787,0.852,0.868,0.864,0.699,0.635,0.649,0.358,0.735,0.399
E,0.056,0.063,1.039,0.184,0.986,0.164,0.776,0.647,0.39,0.375,0.587,0.537
F,0.054,0.042,1.163,0.438,1.161,0.444,0.776,1.03,1.025,0.513,0.687,0.531
G,0.045,0.038,1.341,0.63,1.365,0.633,0.486,0.513,0.319,0.316,0.199,0.793
H,0.043,0.037,1.505,0.233,1.488,0.225,0.405,0.434,0.38,0.767,1.029,0.325



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00034
Measurement started at,03 23 19:10:36 2026
Measurement finished at,03 23 19:10:46 2026
