,1,2,3,4,5,6,7,8,9,10,11,12
A,2.573,1.433,2.573,1.419,0.042,0.047,0.937,1.022,0.95,0.553,0.259,0.486
B,2.267,1.197,2.272,1.2,0.043,0.036,0.4,0.593,0.326,0.679,0.524,0.611
C,2.034,0.835,2.049,0.83,0.038,0.042,0.498,0.886,1.507,1.059,1.664,0.743
D,1.786,0.578,1.742,0.563,0.035,0.033,1.147,0.98,0.979,0.438,0.761,0.88
E,1.437,1.003,1.425,1.004,0.037,0.033,0.363,0.946,1.498,0.647,1.017,0.691
F,1.226,0.543,1.24,0.541,0.034,0.034,0.931,0.506,0.536,1.005,0.503,0.561
G,0.856,0.272,0.845,0.258,0.033,0.034,0.979,0.692,0.453,1.397,0.566,0.803
H,0.642,0.404,0.649,0.354,0.036,0.035,0.399,0.648,1.333,0.393,0.431,1.248



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),650
Serial No.,OPTMAA00034
Measurement started at,03 23 20:52:23 2026
Measurement finished at,03 23 20:52:35 2026
