,1,2,3,4,5,6,7,8,9,10,11,12
A,0.761,0.052,0.196,0.048,0.729,0.052,0.201,0.042,0.779,0.036,0.19,0.033
B,1.367,0.038,0.322,0.048,1.414,0.037,0.329,0.053,1.434,0.037,0.326,0.034
C,1.917,0.036,0.472,0.047,2.003,0.052,0.481,0.053,2.03,0.034,0.474,0.045
D,2.561,0.049,0.615,0.051,2.574,0.04,0.595,0.075,2.573,0.037,0.592,0.051
E,2.967,0.045,0.719,0.039,3.053,0.038,0.746,0.057,3.072,0.036,0.721,0.04
F,3.401,0.034,0.849,0.033,3.483,0.036,0.846,0.033,3.425,0.033,0.847,0.044
G,3.77,0.032,0.968,0.041,3.694,0.035,0.98,0.031,3.69,0.031,0.981,0.037
H,3.786,0.031,1.094,0.032,3.739,0.035,1.099,0.033,3.847,0.03,1.104,0.041



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),650
Serial No.,OPTMAA00034
Measurement started at,03 11 19:54:27 2026
Measurement finished at,03 11 19:54:46 2026
